Date,Predicted_Demand,Lower_Bound,Upper_Bound
2011-07-16,-2426.288188641726,-13135.029243805195,8337.139120458161
2011-07-17,10333.715529763924,58.847736498016125,21517.685188999985
2011-07-18,21628.663218807105,10735.976732033096,32211.306615223177
2011-07-19,19465.02322202094,8489.933281432639,29312.485330804877
2011-07-20,15875.295066551942,4981.259280007384,26152.53027582199
2011-07-21,16978.292094266286,6501.409151220606,27873.48253500672
2011-07-22,10384.248222401451,165.4640818966086,21857.540226702313
2011-07-23,-2112.893353331488,-13049.999959586366,7856.2081183116015
2011-07-24,9605.38751176895,-890.3788095539453,20312.035251011235
2011-07-25,19038.75245420534,8574.878947866186,29208.60320137752
2011-07-26,15139.093290982673,4162.327255847187,25892.41927038677
2011-07-27,13385.439125144809,2053.5781857257425,23386.14327420432
2011-07-28,20943.628550042635,9535.12134342334,31716.26716343558
2011-07-29,16342.076036406956,5185.156883820672,26350.215787582878
2011-07-30,1736.846960930621,-9451.193743998147,12552.33114539963
2011-07-31,10283.030637799558,-761.0382044073829,21488.478107558305
2011-08-01,15779.419063216636,3876.50515011494,26205.049618564353
2011-08-02,16254.56979177943,5535.541990242194,27209.707739189304
2011-08-03,18660.533500075915,8274.490177912272,29646.50781022568
2011-08-04,24949.205615363207,14607.944769100272,36357.13949347174
2011-08-05,19800.575821756378,9535.694569540352,30605.47483231126
2011-08-06,5502.154106158926,-5145.67191785294,16220.351919349625
2011-08-07,9993.12255231233,-407.057908125432,21469.819804715906
2011-08-08,20696.247863883636,9831.88165589644,31535.580331861882
2011-08-09,20297.848097395523,10127.252401205587,30749.118499534445
2011-08-10,21003.129391532646,10357.410266538474,32125.733040618084
2011-08-11,25042.09708192593,14090.712261123348,35121.8229208986
2011-08-12,16743.17568771191,5678.444760426412,27172.616636900642
2011-08-13,1886.67751337044,-8782.065295465543,12728.086903920283
2011-08-14,6969.253485525962,-3239.027278887121,17390.518977880114
2011-08-15,19112.590124630427,8484.518205718887,29798.96772127429
2011-08-16,20937.060356260157,10175.70767500558,31536.939171678045
2011-08-17,23085.915514465567,12692.559127702916,34305.785738592975
2011-08-18,24205.979272639965,13348.193028146305,35428.57244714345
2011-08-19,15633.048399473775,4945.281169452595,26598.0055873665
2011-08-20,85.77107368755223,-10165.581458995523,10984.309196118551
2011-08-21,7683.842269179809,-2347.89945254119,18518.041298983797
2011-08-22,18674.90543366885,7449.863791576197,28947.70379878077
2011-08-23,19020.41967205249,8671.988665276003,30526.721861700036
2011-08-24,19724.89862995716,8866.62520832868,30820.96984238151
2011-08-25,17360.930533319268,6601.1260535969495,27644.475915236955
2011-08-26,10916.600761337235,115.94429923468225,21530.898415113585
2011-08-27,-1121.9461133659693,-12055.725375691289,10473.963126543329
2011-08-28,7994.883834787829,-2496.314740151174,18470.47941245153
2011-08-29,6251.1857713388445,-4622.717515289376,17027.764623936804
2011-08-30,15011.148917023505,4175.189759738519,26078.792894828002
2011-08-31,8538.879899606738,-2769.7496275933927,19512.438052094913
2011-09-01,13299.98365241447,1802.873219797181,23738.09340673626
2011-09-02,12139.745072126469,1356.506710531298,22225.37447182992
2011-09-03,-4249.588600842405,-14612.035605379297,6637.671043044447
2011-09-04,7949.040359878759,-2563.505767065607,18317.942132241773
2011-09-05,20116.001496691842,9636.754471682745,30694.424661179524
2011-09-06,18362.209722626754,7532.709656300426,29265.27704475789
2011-09-07,17688.647465495716,6642.742778664419,28101.204497188868
2011-09-08,20558.71022329816,10561.489276979211,30963.5792875204
2011-09-09,16781.665417067965,6366.588340887015,27673.63704099572
2011-09-10,1861.0866922430425,-9031.267286020842,13547.158636041075
2011-09-11,16313.573380585965,5586.3622618366035,27336.229026803954
2011-09-12,20506.994675299895,10004.085736766485,30907.310672910215
2011-09-13,22219.086973474423,11745.258577781133,32946.38777282575
2011-09-14,20743.345926556587,9846.820950569003,31294.329576481134
2011-09-15,28142.60603019556,17771.499025737114,40023.500738576964
2011-09-16,22564.951254382304,12116.860992399641,34212.24927194795
2011-09-17,9670.59319049657,-1119.627082224509,20020.448892152486
2011-09-18,15276.804559930084,4649.167963251681,25908.29766007798
2011-09-19,26233.46522585783,15733.58036385458,36892.063320207184
2011-09-20,25475.146513232696,15041.383507323884,36117.31162289582
2011-09-21,27446.137109696447,17313.334991125386,38638.26013753605
2011-09-22,33244.03137043129,22433.61476056179,43761.86572196867
2011-09-23,26344.565665310398,15748.063983789176,37682.29318031518
2011-09-24,8770.634312981956,-1179.1479322705627,20130.002675301715
2011-09-25,23372.531971237582,12445.748848170839,33780.075622707605
2011-09-26,28203.00811369243,17421.36384923999,38141.48189092125
2011-09-27,28315.00068486533,17907.118356170868,39129.16759422003
2011-09-28,29626.316896795754,18920.563184807685,40034.3237273575
2011-09-29,31156.94270060436,20123.69316922838,42235.471823603664
2011-09-30,22164.61302245218,11328.95176669811,33527.04910786325
2011-10-01,3274.4776215131765,-8046.915289443004,13607.975947045312
2011-10-02,10439.75827676978,-219.45375663913427,21211.068554981073
2011-10-03,23980.405149689992,12786.097635328926,34972.17403214346
2011-10-04,26697.411663699815,15694.710774999236,37230.291467594296
2011-10-05,28796.24814527175,19130.844373590953,39769.71190679833
2011-10-06,33755.79269462436,23114.23583147178,44735.81015618809
2011-10-07,25702.241447442528,15209.696047398782,35928.01516242499
2011-10-08,6076.7128646548335,-4717.625021361759,17815.204510969477
2011-10-09,15280.403544883724,4917.442564866448,25476.952938075927
2011-10-10,32087.22177308951,21788.78913195889,42290.74314690539
2011-10-11,28623.584290448285,17549.13209210229,39066.036941823746
2011-10-12,22721.6592979975,11838.378012343217,33241.294128940244
2011-10-13,20099.55065214051,9771.54659200689,30718.05167751121
2011-10-14,14351.636350111758,3626.4146428393046,24399.278300016995
2011-10-15,-1318.2061842593428,-11300.4916649722,9686.220269742138
2011-10-16,9708.654423561093,-1188.333799387059,20777.863392129148
2011-10-17,27356.965216017645,17100.386788516727,37743.98833368466
2011-10-18,25184.450598094765,15076.36104168824,35584.94091470654
2011-10-19,21778.087970786357,10251.314111863072,32026.006463949638
2011-10-20,23405.88334715112,12093.857844150223,34746.58774615724
2011-10-21,15749.643969415723,5596.7812816621745,26138.97878799982
2011-10-22,1117.3837832625004,-9949.758622039868,11713.797361859224
2011-10-23,12055.404546484102,1249.6102810551015,22641.72742995634
2011-10-24,24947.301964238755,14647.578047619578,36093.73861480939
2011-10-25,23058.694201060753,12132.82294216129,32578.15612051025
2011-10-26,23618.468109968617,12942.299572482118,33919.75239179634
2011-10-27,26719.99151802586,15837.302865474087,37649.62937990659
2011-10-28,20247.40595066364,9308.677758964372,30162.096090970284
2011-10-29,3729.855990799999,-7307.157658389528,13920.228168648004
2011-10-30,21533.552962244095,10359.64322549138,32470.41519102348
2011-10-31,26254.4944000775,15340.112126793083,36952.335503313436
2011-11-01,20934.523872905876,9722.815154913125,31742.894194237637
2011-11-02,23286.722548122696,12815.597864473793,34148.66392344605
