Date,Total_Revenue,Total_Quantity,Invoice_Count,SKU_Count,Avg_Price,Country_Diversity,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Quarter,Month,Day_Of_Week,Is_Weekend
2009-12-01,54351.23,26098.0,119.0,1328.0,4.530114080834419,8.0,26098.0,26098.0,2009,4,12,1,False
2009-12-02,63172.58,31804.0,115.0,1392.0,4.08034289276808,4.0,28951.0,28951.0,2009,4,12,2,False
2009-12-03,73972.45,49221.0,124.0,1321.0,3.784029341521665,4.0,35707.666666666664,35707.666666666664,2009,4,12,3,False
2009-12-04,40582.32,21210.0,89.0,1252.0,3.7985720048406617,5.0,32083.25,32083.25,2009,4,12,4,False
2009-12-05,9803.05,5119.0,30.0,285.0,3.60815,2.0,26690.4,26690.4,2009,4,12,5,True
2009-12-06,24423.02,11533.0,74.0,966.0,3.3000587293112655,4.0,24164.166666666668,24164.166666666668,2009,4,12,6,True
2009-12-07,44916.21,17955.0,101.0,1338.0,4.482218259629101,7.0,23277.14285714286,23277.14285714286,2009,4,12,0,False
2009-12-08,49476.23,23143.0,109.0,1129.0,3.922101881597063,6.0,22855.0,23260.375,2009,4,12,1,False
2009-12-09,40265.66,17840.0,88.0,1297.0,4.609702110053785,3.0,20860.14285714286,22658.11111111111,2009,4,12,2,False
2009-12-10,44233.96,23579.0,92.0,1212.0,4.439376590330789,4.0,17197.0,22750.2,2009,4,12,3,False
2009-12-11,39447.89,21268.0,70.0,840.0,3.0598724309000707,1.0,17205.285714285714,22615.454545454544,2009,4,12,4,False
2009-12-12,0.0,0.0,0.0,0.0,3.0598724309000707,0.0,16474.0,20730.833333333332,2009,4,12,5,True
2009-12-13,22176.46,12517.0,71.0,978.0,2.821826589595376,5.0,16614.571428571428,20099.0,2009,4,12,6,True
2009-12-14,73174.39,45332.0,90.0,1584.0,4.870902777777777,3.0,20525.571428571428,21901.35714285714,2009,4,12,0,False
