Date,Total_Quantity,Invoice_Count,SKU_Count,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Month,Week_Of_Year,Day_Of_Week,Is_Weekend
2009-12-01,26098.0,119.0,1328.0,26098.0,26098.0,2009,12,49,1,False
2009-12-02,31804.0,115.0,1392.0,28951.0,28951.0,2009,12,49,2,False
2009-12-03,49221.0,124.0,1321.0,35707.666666666664,35707.666666666664,2009,12,49,3,False
2009-12-04,21210.0,89.0,1252.0,32083.25,32083.25,2009,12,49,4,False
2009-12-05,5119.0,30.0,285.0,26690.4,26690.4,2009,12,49,5,True
2009-12-06,11533.0,74.0,966.0,24164.166666666668,24164.166666666668,2009,12,49,6,True
2009-12-07,17955.0,101.0,1338.0,23277.14285714286,23277.14285714286,2009,12,50,0,False
2009-12-08,23143.0,109.0,1129.0,22855.0,23260.375,2009,12,50,1,False
2009-12-09,17840.0,88.0,1297.0,20860.14285714286,22658.11111111111,2009,12,50,2,False
2009-12-10,23579.0,92.0,1212.0,17197.0,22750.2,2009,12,50,3,False
2009-12-11,21268.0,70.0,840.0,17205.285714285714,22615.454545454544,2009,12,50,4,False
2009-12-12,0.0,0.0,0.0,16474.0,20730.833333333332,2009,12,50,5,True
2009-12-13,12517.0,71.0,978.0,16614.571428571428,20099.0,2009,12,50,6,True
2009-12-14,45332.0,90.0,1584.0,20525.571428571428,21901.35714285714,2009,12,51,0,False
2009-12-15,27064.0,98.0,1025.0,21085.714285714286,22245.533333333333,2009,12,51,1,False
2009-12-16,24891.0,98.0,1420.0,22093.0,22410.875,2009,12,51,2,False
2009-12-17,15413.0,104.0,1037.0,20926.428571428572,21999.235294117647,2009,12,51,3,False
2009-12-18,17402.0,68.0,1119.0,20374.14285714286,21743.833333333332,2009,12,51,4,False
2009-12-19,0.0,0.0,0.0,20374.14285714286,20599.42105263158,2009,12,51,5,True
2009-12-20,6245.0,34.0,464.0,19478.14285714286,19881.7,2009,12,51,6,True
2009-12-21,8771.0,41.0,454.0,14255.142857142857,19352.619047619046,2009,12,52,0,False
2009-12-22,14478.0,45.0,1024.0,12457.142857142857,19131.045454545456,2009,12,52,1,False
2009-12-23,4578.0,22.0,369.0,9555.285714285714,18498.304347826088,2009,12,52,2,False
2009-12-24,0.0,0.0,0.0,7353.428571428572,17727.541666666668,2009,12,52,3,False
2009-12-25,0.0,0.0,0.0,4867.428571428572,17018.44,2009,12,52,4,False
2009-12-26,0.0,0.0,0.0,4867.428571428572,16363.884615384615,2009,12,52,5,True
2009-12-27,0.0,0.0,0.0,3975.285714285714,15757.814814814816,2009,12,52,6,True
2009-12-28,0.0,0.0,0.0,2722.285714285714,15195.035714285714,2009,12,53,0,False
2009-12-29,0.0,0.0,0.0,654.0,14671.068965517241,2009,12,53,1,False
2009-12-30,0.0,0.0,0.0,0.0,14182.033333333333,2009,12,53,2,False
2009-12-31,0.0,0.0,0.0,0.0,13312.1,2009,12,53,3,False
2010-01-01,0.0,0.0,0.0,0.0,12251.966666666667,2010,1,53,4,False
2010-01-02,0.0,0.0,0.0,0.0,10611.266666666666,2010,1,53,5,True
2010-01-03,0.0,0.0,0.0,0.0,9904.266666666666,2010,1,53,6,True
2010-01-04,10646.0,29.0,479.0,1520.857142857143,10088.5,2010,1,1,0,False
2010-01-05,11296.0,36.0,620.0,3134.5714285714284,10080.6,2010,1,1,1,False
2010-01-06,7459.0,14.0,249.0,4200.142857142857,9730.733333333334,2010,1,1,2,False
2010-01-07,40614.0,47.0,656.0,10002.142857142857,10313.1,2010,1,1,3,False
2010-01-08,12695.0,45.0,500.0,11815.714285714286,10141.6,2010,1,1,4,False
2010-01-09,0.0,0.0,0.0,11815.714285714286,9355.633333333333,2010,1,1,5,True
2010-01-10,13383.0,34.0,487.0,13727.57142857143,9092.8,2010,1,1,6,True
2010-01-11,13980.0,56.0,1067.0,14203.857142857143,9558.8,2010,1,2,0,False
2010-01-12,21264.0,39.0,766.0,15627.857142857143,9850.366666666667,2010,1,2,1,False
2010-01-13,8835.0,30.0,902.0,15824.42857142857,8633.8,2010,1,2,2,False
2010-01-14,13784.0,58.0,1038.0,11991.57142857143,8191.133333333333,2010,1,2,3,False
2010-01-15,8419.0,46.0,430.0,11380.714285714286,7642.066666666667,2010,1,2,4,False
2010-01-16,0.0,0.0,0.0,11380.714285714286,7128.3,2010,1,2,5,True
2010-01-17,9911.0,40.0,683.0,10884.714285714286,6878.6,2010,1,2,6,True
2010-01-18,10333.0,40.0,1002.0,10363.714285714286,7223.033333333334,2010,1,3,0,False
2010-01-19,15274.0,47.0,1065.0,9508.0,7524.0,2010,1,3,1,False
2010-01-20,9477.0,37.0,761.0,9599.714285714286,7547.533333333334,2010,1,3,2,False
2010-01-21,72900.0,48.0,732.0,18044.85714285714,9494.933333333332,2010,1,3,3,False
2010-01-22,18573.0,45.0,862.0,19495.428571428572,9961.433333333332,2010,1,3,4,False
2010-01-23,0.0,0.0,0.0,19495.428571428572,9961.433333333332,2010,1,3,5,True
2010-01-24,8846.0,50.0,705.0,19343.285714285714,10256.3,2010,1,3,6,True
