StockCode,Description,Total_Quantity_Sold,Total_Revenue,Avg_Price,First_Sale_Date,Last_Sale_Date,Num_Orders,Num_Countries_Sold,SKU_Demand_Velocity,Return_Rate,Average_Daily_Demand,Gross_Quantity,Return_Quantity,Net_Quantity,Product_Lifespan_Days
10002,INFLATABLE POLITICAL GLOBE ,8671,6942.26,0.9791553133514985,2009-12-01,2011-04-18,362,12,38.53777777777778,0.1356928880505936,17.20436507936508,9013.0,1223.0,7790.0,504
10080,GROOVY CACTUS INFLATABLE,315,129.29,0.505,2009-12-02,2011-11-21,27,1,12.115384615384615,0.0,0.4375,597.0,0.0,597.0,720
10109,BENDY COLOUR PENCILS,4,1.68,0.42,2009-12-03,2009-12-03,1,1,4.0,0.0,4.0,0.0,0.0,0.0,1
10120,DOGGY RUBBER,664,142.74,0.24013698630136987,2009-12-01,2011-12-04,73,2,10.375,-0.003605769230769231,0.9046321525885559,-8320.0,30.0,-8350.0,734
10125,MINI FUNKY DESIGN TAPES,2103,1715.78,0.930635838150289,2009-12-01,2011-12-09,167,6,16.95967741935484,0.0,2.84573748308525,2151.0,0.0,2151.0,739
10133,COLOURING PENCILS BROWN TUBE,3837,2373.2599999999998,0.7457093425605537,2009-12-01,2011-09-07,289,8,20.409574468085108,0.005263157894736842,5.939628482972136,3800.0,20.0,3780.0,646
10134,COLOURING PENCILS BROWN TUBE,625,721.13,1.2907407407407407,2009-12-03,2010-11-12,52,4,13.88888888888889,0.016778523489932886,1.8115942028985508,596.0,10.0,586.0,345
10135,COLOURING PENCILS BROWN TUBE,4226,4566.21,1.3985626911314983,2009-12-01,2011-12-08,324,7,18.535087719298247,0.0025743037678446056,5.726287262872629,4273.0,11.0,4262.0,738
10138,ASSORTED COLOUR JUMBO PEN,261,111.22,0.4776190476190476,2009-12-02,2010-04-20,21,1,14.5,-2.9393939393939394,1.8642857142857143,-66.0,194.0,-260.0,140
11001,ASSTD DESIGN RACING CAR PEN,4829,7408.65,1.8730078125,2009-12-01,2011-12-06,251,12,25.151041666666668,0.1662231320368475,6.561141304347826,4885.0,812.0,4073.0,736
15030,FAN BLACK FRAME ,254,73.66,0.29,2009-12-13,2011-12-06,26,1,9.76923076923077,0.0,0.35082872928176795,404.0,0.0,404.0,724
15034,PAPER POCKET TRAVELING FAN ,10153,1416.2600000000002,0.357265625,2009-12-01,2011-12-08,255,10,50.51243781094527,0.1410481200077927,13.757452574525745,10266.0,1448.0,8818.0,738
15036,ASSORTED COLOURS SILK FAN,44272,32967.03,0.9932560483870967,2009-12-01,2011-12-09,991,14,102.24480369515011,0.021363688628262618,59.90798376184033,43485.0,929.0,42556.0,739
15039,SANDALWOOD FAN,5101,4345.62,1.1448376623376624,2009-12-03,2011-12-09,306,8,22.97747747747748,0.005274467669466693,6.921302578018996,5119.0,27.0,5092.0,737
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,422.96,0.15623529411764706,2010-03-19,2011-12-09,85,8,44.23943661971831,0.0,4.977812995245642,1633.0,0.0,1633.0,631
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,3.84,0.12,2010-01-17,2011-03-28,4,1,8.0,0.0,0.07339449541284404,37.0,0.0,37.0,436
16011, ANIMAL STICKERS,3812,799.3199999999999,0.20955357142857142,2009-12-04,2011-12-07,112,3,36.304761904761904,0.006144393241167435,5.193460490463215,3906.0,24.0,3882.0,734
16012,FOOD/DRINK SPUNGE STICKERS,2901,608.01,0.2094047619047619,2009-12-02,2011-12-05,83,6,39.73972602739726,0.0,3.9523160762942777,2973.0,0.0,2973.0,734
16014,SMALL CHINESE STYLE SCISSOR,29355,9513.1,0.39526881720430107,2009-12-03,2011-12-09,93,6,337.41379310344826,0.0,39.8303934871099,30370.0,0.0,30370.0,737
16015,MEDIUM CHINESE STYLE SCISSOR,1572,711.38,0.4870769230769231,2009-12-03,2011-11-17,65,1,26.2,0.0,2.1986013986013986,1014.0,0.0,1014.0,715
16016,LARGE CHINESE STYLE SCISSOR,2314,1870.7,0.8401886792452831,2009-12-03,2011-12-09,106,7,23.612244897959183,0.0,3.1397557666214384,2338.0,0.0,2338.0,737
16033,MINI HIGHLIGHTER PENS,15121,1544.52,0.11639999999999999,2009-12-10,2011-02-17,50,6,328.7173913043478,0.037611659614480486,34.760919540229885,12762.0,480.0,12282.0,435
16043,POP ART PUSH DOWN RUBBER ,2145,180.29999999999998,0.31846153846153846,2009-12-16,2011-06-09,13,2,165.0,0.5451523545706372,3.9648798521256934,1805.0,984.0,821.0,541
16044,POP-ART FLUORESCENT PENS,6193,389.22,0.3,2010-01-07,2010-02-18,3,2,2064.3333333333335,0.0,144.02325581395348,5112.0,0.0,5112.0,43
16045,POPART WOODEN PENCILS ASST,9312,429.44,0.049600000000000005,2010-01-07,2011-12-05,74,4,150.19354838709677,0.0,13.340974212034384,4745.0,0.0,4745.0,698
16046,TEATIME PEN CASE & PENS,10056,1223.5,0.9443548387096774,2009-12-04,2011-11-28,59,2,182.83636363636364,0.4594326522515374,13.870344827586207,10082.0,4632.0,5450.0,725
16047,POP ART PEN CASE & PENS,10612,1054.7,0.9583870967741934,2009-12-01,2010-10-24,31,2,379.0,0.491514174646819,32.353658536585364,10547.0,5184.0,5363.0,328
16048,TEATIME ROUND PENCIL SHARPENER ,3461,537.06,0.40254716981132077,2009-12-07,2011-12-08,105,7,39.32954545454545,0.0,4.728142076502732,3462.0,0.0,3462.0,732
16049,TEATIME GEL PENS ASST,3169,560.48,0.381875,2009-12-04,2011-05-25,32,1,113.17857142857143,0.0,5.890334572490707,2772.0,0.0,2772.0,538
16050,TEATIME PENCIL WITH RUBBER,151,46.45,0.4,2010-02-16,2010-04-19,8,1,21.571428571428573,-0.0,2.3968253968253967,-692.0,0.0,-692.0,63
16051,TEATIME PENCIL W STAMP ASST,941,84.69,0.4325,2009-12-10,2010-06-09,4,3,235.25,0.0,5.170329670329671,599.0,0.0,599.0,182
16052,TEATIME PUSH DOWN RUBBER,848,281.32,0.5685714285714285,2009-12-16,2011-06-09,35,3,25.696969696969695,0.015852047556142668,1.567467652495379,1514.0,24.0,1490.0,541
16053,POPART COL BALLPOINT PEN ASST,4313,185.73,0.174,2010-01-07,2010-11-16,10,3,431.3,0.5264543300868649,13.735668789808917,3799.0,2000.0,1799.0,314
16054,POPART RECT PENCIL SHARPENER ASST,1210,159.0,0.17384615384615382,2010-01-07,2011-12-04,39,4,34.57142857142857,0.08925619834710743,1.7360114777618365,1210.0,108.0,1102.0,697
16119,FUNKY GIRL ADDRESS BOOK,273,130.71,1.0325,2009-12-10,2009-12-22,8,2,45.5,0.0,21.0,258.0,0.0,258.0,13
16192,PINK BALLET OPENING CUBE BOX ,3,12.899999999999999,4.3,2009-12-18,2009-12-18,1,1,3.0,-0.0,3.0,-1.0,0.0,-1.0,1
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,287.01,1.6778048780487806,2009-12-02,2010-11-12,37,3,10.457142857142857,0.0,1.0578034682080926,170.0,0.0,170.0,346
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,0.65,2009-12-03,2009-12-03,3,1,8.0,-0.0,8.0,-78.0,0.0,-78.0,1
16216,LETTER SHAPE PENCIL SHARPENER,4158,371.64,0.21955056179775279,2009-12-04,2011-12-07,88,2,54.0,0.026455026455026454,5.664850136239782,4158.0,110.0,4048.0,734
16218,CARTOON  PENCIL SHARPENERS,4629,448.13,0.4536734693877551,2009-12-08,2011-12-09,98,4,55.107142857142854,0.0,6.323770491803279,4632.0,0.0,4632.0,732
16219,HOUSE SHAPE PENCIL SHARPENER,3357,499.55,0.555703125,2009-12-06,2011-12-08,128,6,31.373831775700936,0.01429422275163788,4.57980900409277,3358.0,48.0,3310.0,733
16225,RATTLE SNAKE EGGS,1520,1271.66,1.5598192771084338,2009-12-01,2011-12-09,165,3,11.968503937007874,0.0,2.0568335588633286,1530.0,0.0,1530.0,739
16235,RECYCLED PENCIL WITH RABBIT ERASER,5827,1333.95,0.3089808917197452,2009-12-01,2011-12-09,310,6,26.486363636363638,-0.04350670592083742,7.884979702300406,-3057.0,133.0,-3190.0,739
16236,KITTY PENCIL ERASERS,2652,593.29,0.30335849056603775,2009-12-02,2011-12-08,260,7,13.461928934010153,0.010502625656414103,3.598371777476255,2666.0,28.0,2638.0,737
16237,SLEEPING CAT ERASERS,10385,2233.15,0.2964957264957265,2009-12-01,2011-12-09,580,8,30.816023738872403,0.008319619674529164,14.05277401894452,10938.0,91.0,10847.0,739
16238,PARTY TIME PENCIL ERASERS,2447,559.54,0.30966244725738395,2009-12-01,2011-12-08,236,7,13.519337016574585,0.0,3.3157181571815717,2525.0,0.0,2525.0,738
16239,BALLERINA HEART DECORATION.,347,492.17,2.6557142857142857,2009-12-02,2010-03-02,21,2,21.6875,0.0,3.8131868131868134,340.0,0.0,340.0,91
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,941,305.66,1.2665853658536586,2010-01-11,2011-11-30,40,2,29.40625,0.0,1.3657474600870827,893.0,0.0,893.0,689
16259,PIECE OF CAMO STATIONERY SET,5473,766.09,0.14618181818181816,2009-12-07,2011-11-13,55,4,107.31372549019608,0.058109280138768434,7.741159830268741,2306.0,134.0,2172.0,707
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211,299.34999999999997,0.27956521739130435,2009-12-04,2011-02-28,23,2,57.666666666666664,0.0031662269129287598,2.6792035398230087,1895.0,6.0,1889.0,452
17003,BROCADE RING PURSE ,70369,14766.42,0.3027272727272727,2009-12-01,2011-12-08,456,7,233.78405315614617,0.010358342665173572,95.3509485094851,71440.0,740.0,70700.0,738
17021,NAMASTE SWAGAT INCENSE,3720,984.24,0.2949397590361446,2010-01-22,2011-12-05,76,2,53.142857142857146,0.02270081490104773,5.446559297218156,3436.0,78.0,3358.0,683
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3280,867.8399999999999,0.28536231884057967,2009-12-02,2010-10-19,69,1,58.57142857142857,0.03862660944206009,10.186335403726709,932.0,36.0,896.0,322
17038,PORCELAIN BUDAH INCENSE HOLDER,2559,254.51000000000002,0.4290909090909091,2009-12-14,2011-12-09,55,2,46.527272727272724,0.0,3.524793388429752,1259.0,0.0,1259.0,726
17039,INLAID WOOD INCENSE HOLDER,3707,837.88,0.3774418604651163,2009-12-02,2010-08-09,43,2,95.05128205128206,0.0,14.768924302788845,2480.0,0.0,2480.0,251
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,0.04,2009-12-07,2009-12-07,1,1,52.0,-0.0,52.0,-1146.0,0.0,-1146.0,1
17096,ASSORTED LAQUERED INCENSE HOLDERS,6240,1117.0900000000001,0.3223684210526316,2009-12-02,2011-07-19,76,2,91.76470588235294,0.0,10.487394957983193,6195.0,0.0,6195.0,595
