ds,yhat,yhat_lower,yhat_upper
2009-12-01,26839.785753621385,7454.737662445275,44128.77628117815
2009-12-02,26545.243962249835,8899.096109510358,43941.986748808704
2009-12-03,29922.16135172591,11844.217997428765,48509.64868387268
2009-12-04,23794.821272992493,5191.954097718426,42206.58825820835
2009-12-05,9252.70417271504,-9152.370546399881,28767.67751194188
2009-12-06,17996.225661071712,-1601.3642320391107,37637.36002336596
2009-12-07,27850.099026160213,10004.677666390935,46650.605407257244
2009-12-08,28595.779434638804,9208.562398714435,45862.41199160738
2009-12-09,25598.487623750916,7786.926877059363,43274.94637918221
2009-12-10,25579.89315982283,7102.060740808952,45175.94032611401
2009-12-11,17013.681506621982,-992.9101530138207,36002.71491244225
2009-12-12,1899.6820758760387,-17212.7654377373,18524.185888645934
2009-12-13,11547.005121741677,-6123.7907364373,31524.804563769943
2009-12-14,22603.420417429425,4386.015216654309,40418.702477392384
2009-12-15,23927.913614603804,5058.304361049922,43368.60588264218
2009-12-16,20805.327010741952,2313.569930880148,38432.04699330539
2009-12-17,20398.178468845857,3063.0677520802137,38660.498216730564
2009-12-18,11380.761087246545,-6722.875129292848,29276.426711320753
2009-12-19,-4611.818317902404,-24052.189660093485,13048.005815204484
2009-12-20,3288.1488847474775,-14811.613507878114,22298.23263853707
2009-12-21,11995.516202330444,-5590.680214016537,31411.828346800092
2009-12-22,11531.417631981934,-6212.925882308055,29339.705736637326
2009-12-23,8475.292284049185,-9679.54648553626,26457.616894283285
2009-12-24,10308.910498376063,-7439.852885855302,28814.88989180272
2009-12-25,4625.390438679422,-13833.872061460082,23202.031953732105
2009-12-26,-8693.106021450158,-26498.33864212333,9958.639289016977
2009-12-27,107.74897250390859,-17479.131462471858,18636.554410286626
2009-12-28,8244.995703385972,-10782.153709408907,27285.443381124278
2009-12-29,7055.170760673762,-11738.46073429754,26486.70797194484
2009-12-30,4281.24391362393,-14333.532918817275,23588.80409886546
2009-12-31,7556.564396148578,-10171.487020833907,27066.980271465975
2010-01-01,3773.751317095868,-14760.474289767075,21897.003216518664
2010-01-02,-7840.165887552634,-25362.70228987258,11050.321799933636
2010-01-03,2535.0743943904763,-16040.484946440118,20070.537255032377
2010-01-04,12679.582574924805,-5675.614813930193,32305.147518173806
2010-01-05,14130.396174032665,-3850.54486679423,33033.504324089874
2010-01-06,13903.4975277013,-5329.785046397358,32795.05030203646
2010-01-07,18370.21449363868,-450.6477924261962,37177.58151335283
2010-01-08,13692.872548118426,-4772.804650365748,32221.377016467613
2010-01-09,-342.5654233803907,-19268.871566287755,17956.77011997427
2010-01-10,7633.262976349841,-11452.739137715787,27066.37162832373
2010-01-11,16797.892886471833,-930.6925016518088,35047.40601742164
2010-01-12,18936.74985419007,292.4908426086704,38110.00537626734
2010-01-13,20152.74701732062,2648.2083538968886,38903.88831021317
2010-01-14,25638.97331486804,7831.474550047371,44471.002016126185
2010-01-15,21037.73040289681,2916.4324456999766,39569.93532891852
2010-01-16,6404.141817576925,-13048.096274024934,24504.42146345692
2010-01-17,13519.571093914821,-4731.498377002121,32422.876935381428
2010-01-18,21475.30684136754,4375.897242096465,40085.23480293811
2010-01-19,21564.409973168567,4267.7274700902835,41940.92367982768
2010-01-20,19737.55239118754,806.046239458013,37897.94361632369
2010-01-21,21958.942180779857,3735.7566898750415,39027.42709615137
2010-01-22,15259.540980315885,-4409.0784708136,33816.94761207543
2010-01-23,640.8763900468657,-17718.81088804479,19437.77595072531
2010-01-24,9506.230733312223,-9169.536408127824,27410.784665269337
2010-01-25,19401.84782506348,360.40164423709257,37109.84866201837
2010-01-26,20055.96356967858,2686.278220972152,38234.056260448655
2010-01-27,17011.338149635074,-1998.0239785650383,35689.623667083644
2010-01-28,17184.24394901057,-1427.5168645800718,36411.62474741345
2010-01-29,9019.999188838157,-9111.73251078576,27687.3685871276
2010-01-30,-5751.888894407446,-23754.850926939904,12001.728053885106
2010-01-31,3931.224059080414,-15389.029236769116,22724.84610242721
2010-02-01,14831.105005819549,-4135.497473870206,31523.021447464827
2010-02-02,16360.090004042248,-2838.5723702412447,35807.11012224749
2010-02-03,14470.751491898764,-3940.8906833193023,33311.22167692218
2010-02-04,16580.355876345006,-2053.787386005117,34621.99688730048
2010-02-05,10890.608836563737,-6380.600308921102,27967.981181740684
2010-02-06,-1973.5798592497158,-20960.153492862715,16389.26249589835
2010-02-07,7911.075269856035,-9808.371523879023,25168.845356317335
2010-02-08,17177.138291061885,-944.2814552389365,34558.937457592096
2010-02-09,16388.606882363256,-2687.299421383352,32696.449951243016
2010-02-10,13119.08349860123,-5682.516311072679,32106.977259638796
2010-02-11,15667.951069012264,-3047.9609631556673,33118.072904463545
2010-02-12,11818.29326341745,-6985.810912241903,30344.47353314404
2010-02-13,992.4280129929903,-16452.03220833886,19243.095102920575
2010-02-14,12167.89914630259,-6186.623870127823,30113.09214996578
2010-02-15,21876.63968818363,3139.372096198311,40690.708372813315
2010-02-16,21106.823411031193,2926.921023507953,40848.87105643755
2010-02-17,17620.031360597673,-253.27756045499825,35377.98871509338
2010-02-18,19342.689768664248,1074.3256117265464,36256.45009195141
2010-02-19,13612.872645662866,-4243.959516620487,31572.40486835061
2010-02-20,121.10384087818966,-19190.566746780238,18339.1396681725
2010-02-21,9012.902444966112,-10152.68887898556,28523.332962022385
2010-02-22,18125.175693114565,309.1340982382717,35164.016960094654
2010-02-23,18779.999319227845,176.18942211384075,36452.41052548838
2010-02-24,17676.306462692788,-872.0317930578185,37062.63621848997
2010-02-25,21009.483588453684,902.7052343867674,37349.82819333719
2010-02-26,15028.917165889756,-2535.6544253126613,33671.078247378086
2010-02-27,-245.86496906623324,-18155.58486793569,18787.432383332274
2010-02-28,6674.280634119339,-12032.926357854016,24250.280658926622
2010-03-01,14818.663677931156,-2783.8288114799893,33617.68148296654
2010-03-02,15689.692046136897,-1770.8046194231447,35471.33590315466
2010-03-03,15313.673268428023,-3162.5357123882873,34002.12800372113
2010-03-04,19257.122158350037,389.4438370280359,37742.754408679175
2010-03-05,13859.322811748929,-3366.1662790255737,31812.1926174532
2010-03-06,-276.0768068550533,-19328.54427344166,18965.56104641868
2010-03-07,8558.170886496027,-10488.804750552232,26342.251781730414
2010-03-08,18678.10994913684,-36.01561147973739,37726.66587234872
2010-03-09,20333.642366194894,3077.3351713880807,39186.82813275873
2010-03-10,18825.88430685198,996.1804396977049,36901.12136505161
2010-03-11,20280.889083581813,2084.633172815625,39045.285154210585
2010-03-12,12583.189778901859,-5041.584569055526,32080.052542434667
2010-03-13,-2274.2871100093253,-21603.75485270325,15519.307824304897
2010-03-14,7651.932649366113,-11110.303715153032,27170.970905941078
2010-03-15,19749.034420924265,1310.4010814904611,36530.162604375255
2010-03-16,23069.746848961495,5237.831335226397,41350.512922569156
2010-03-17,22373.647841951726,3770.162695293168,40614.96373316435
2010-03-18,24032.486957950314,7346.799543402914,42898.36083480652
2010-03-19,16318.060830810242,-1301.260253187251,34850.35300020244
2010-03-20,1111.7428936900433,-19509.715140136133,18968.285471795636
2010-03-21,9839.478632212009,-9514.850596033351,28042.12444466294
2010-03-22,19711.888951049452,290.3621342471034,38066.44428986503
2010-03-23,20530.00525083617,3600.7559668561735,39248.15443499606
2010-03-24,18421.3707765045,445.24782130030127,37072.503805988
2010-03-25,20686.113233780226,1684.0099086617347,38858.22865878309
2010-03-26,15203.055122398577,-2908.0462524305367,32652.708362868165
2010-03-27,2297.13437039611,-15437.579190141745,20676.889872508425
2010-03-28,11821.847664875373,-6252.11705933243,30681.23199209242
2010-03-29,20576.201113669045,1515.3156027913503,38223.3920765186
2010-03-30,19313.54776252811,2189.5684380121766,36833.02664623923
2010-03-31,15579.930975272677,-1400.6916340320554,33699.19481708392
2010-04-01,17411.303059789618,-1368.5091325221233,35937.11843106748
2010-04-02,12357.106197415273,-5068.188956003705,30445.09624090284
2010-04-03,-27.91145364969998,-19092.77925122058,17847.909235867464
2010-04-04,9810.69785490659,-9503.926524746357,28838.055100427497
2010-04-05,19100.63357928587,141.9486282095264,38799.12930628377
2010-04-06,19116.568617964433,1072.185656707635,38228.08015447178
2010-04-07,17182.084635965202,-997.0247685613682,35138.51672931063
2010-04-08,20249.876673503044,3273.177094898728,38820.050364031646
2010-04-09,14750.924646619169,-3961.1590813935663,33242.27156862771
2010-04-10,130.6149824757813,-17320.02087447579,19084.292883442267
2010-04-11,7113.269535928366,-11932.452784746984,25577.52124995181
2010-04-12,14563.683307214318,-4026.578821900425,32939.77250075127
2010-04-13,14652.115432135633,-3925.908352595241,34204.8964414719
2010-04-14,14294.032441143996,-6198.70834906528,32942.40096038651
2010-04-15,19246.80612280382,-407.18675859840937,38506.640589238516
2010-04-16,14999.528317942742,-3431.4555169265473,34126.36519342483
2010-04-17,897.3190599699356,-17557.324916558562,19401.338670747296
2010-04-18,8085.581970820583,-9614.086549870486,25171.362235082885
2010-04-19,15610.66916656996,-2287.48430279277,34187.10528343397
2010-04-20,15260.363238929282,-2815.4668623352795,33514.148530987026
2010-04-21,13492.82075631574,-5963.14791638918,32672.725701426414
2010-04-22,16318.935525408328,-1281.597377108919,33953.41407710315
2010-04-23,10379.17035941347,-9130.405525179493,28982.14845185046
2010-04-24,-3694.389914184234,-22076.918302054284,14136.969860252571
2010-04-25,5558.697323055341,-12884.002562861731,23743.08105422686
2010-04-26,16102.991024361376,-1963.54439585026,34679.433175148704
2010-04-27,17976.380317527317,471.22052933528516,35748.60741308051
2010-04-28,16530.33157810955,-766.2644898097201,34814.04699158248
2010-04-29,18088.11971077162,-303.7761728046834,36328.86164735184
2010-04-30,10619.07138737342,-7419.316507926444,30168.221606182415
2010-05-01,-4064.8015034038744,-21293.25494487489,14970.183142840257
2010-05-02,5667.436374163082,-12478.378159354981,23164.663656729277
2010-05-03,17100.784225163578,-984.8069215073109,35561.58643229624
2010-05-04,19640.411343698343,1331.7446843047717,39035.49731380382
2010-05-05,18727.00693060948,-85.52538862709386,37217.58766317519
2010-05-06,21270.457133193147,2898.5761010724295,40467.92741489195
2010-05-07,15463.748555812379,-3162.2311046051886,32686.80040850762
2010-05-08,2414.0568130260035,-15956.35741670322,20549.27563260996
2010-05-09,12510.839811230291,-5885.824555529709,31422.498529772787
2010-05-10,22327.184087880305,5890.000734682742,39479.58573214182
2010-05-11,21842.91403994711,3163.467374638288,40622.999014515226
2010-05-12,18060.459519536937,-790.9663359292003,36129.46776275801
2010-05-13,19296.352698100378,2059.0587801568695,38446.27564109687
2010-05-14,13997.52966452204,-4664.176581239341,31291.932567032683
2010-05-15,2359.8594222162974,-15122.646898967929,21490.21304245288
2010-05-16,13592.491768278922,-5540.524061779322,33211.99593912983
2010-05-17,23742.662453751094,7083.046279667354,41646.38369343821
2010-05-18,23049.950400908903,3560.9765494942058,41038.40428548253
2010-05-19,18916.079099205013,579.7580289309964,36482.45870860912
2010-05-20,19555.694262757752,-2.8973479518674754,37025.13644472027
2010-05-21,12905.244060926412,-5754.664909705555,31798.780788321637
2010-05-22,-1011.7342359887971,-18502.099514250836,18797.603510262255
2010-05-23,7763.538773513829,-10454.335523593545,25432.0652267264
2010-05-24,16644.6738831273,-884.1414742429888,36110.76883807963
2010-05-25,16795.19537382953,-944.0033043095401,35770.13445510609
2010-05-26,15216.734695589541,-3025.8700523251473,35458.27377929987
2010-05-27,18557.933565635634,1232.000512738863,38958.980792920134
2010-05-28,13171.076098009022,-4625.589503778073,32076.2702387349
