Date,Total_Quantity,Invoice_Count,SKU_Count,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Month,Week_Of_Year,Day_Of_Week,Is_Weekend,Total_Quantity_raw
01-12-2009,26098,119,1328,26098,26098,2009,12,49,1,FALSE,26098
02-12-2009,31804,115,1392,28951,28951,2009,12,49,2,FALSE,31804
03-12-2009,49221,124,1321,35707.66667,35707.66667,2009,12,49,3,FALSE,49221
04-12-2009,21210,89,1252,32083.25,32083.25,2009,12,49,4,FALSE,21210
05-12-2009,5119,30,285,26690.4,26690.4,2009,12,49,5,TRUE,5119
06-12-2009,11533,74,966,24164.16667,24164.16667,2009,12,49,6,TRUE,11533
07-12-2009,17955,101,1338,23277.14286,23277.14286,2009,12,50,0,FALSE,17955
08-12-2009,23143,109,1129,22855,23260.375,2009,12,50,1,FALSE,23143
09-12-2009,17840,88,1297,20860.14286,22658.11111,2009,12,50,2,FALSE,17840
10-12-2009,23579,92,1212,17197,22750.2,2009,12,50,3,FALSE,23579
11-12-2009,21268,70,840,17205.28571,22615.45455,2009,12,50,4,FALSE,21268
12-12-2009,0,0,0,16474,20730.83333,2009,12,50,5,TRUE,0
13-12-2009,12517,71,978,16614.57143,20099,2009,12,50,6,TRUE,12517
14-12-2009,45332,90,1584,20525.57143,21901.35714,2009,12,51,0,FALSE,45332
15-12-2009,27064,98,1025,21085.71429,22245.53333,2009,12,51,1,FALSE,27064
16-12-2009,24891,98,1420,22093,22410.875,2009,12,51,2,FALSE,24891
17-12-2009,15413,104,1037,20926.42857,21999.23529,2009,12,51,3,FALSE,15413
18-12-2009,17402,68,1119,20374.14286,21743.83333,2009,12,51,4,FALSE,17402
19-12-2009,0,0,0,20374.14286,20599.42105,2009,12,51,5,TRUE,0
20-12-2009,6245,34,464,19478.14286,19881.7,2009,12,51,6,TRUE,6245
21-12-2009,8771,41,454,14255.14286,19352.61905,2009,12,52,0,FALSE,8771
22-12-2009,14478,45,1024,12457.14286,19131.04545,2009,12,52,1,FALSE,14478
23-12-2009,4578,22,369,9555.285714,18498.30435,2009,12,52,2,FALSE,4578
24-12-2009,0,0,0,7353.428571,17727.54167,2009,12,52,3,FALSE,0
25-12-2009,0,0,0,4867.428571,17018.44,2009,12,52,4,FALSE,0
26-12-2009,0,0,0,4867.428571,16363.88462,2009,12,52,5,TRUE,0
27-12-2009,0,0,0,3975.285714,15757.81481,2009,12,52,6,TRUE,0
28-12-2009,0,0,0,2722.285714,15195.03571,2009,12,53,0,FALSE,0
29-12-2009,0,0,0,654,14671.06897,2009,12,53,1,FALSE,0
30-12-2009,0,0,0,0,14182.03333,2009,12,53,2,FALSE,0
31-12-2009,0,0,0,0,13312.1,2009,12,53,3,FALSE,0
01-01-2010,0,0,0,0,12251.96667,2010,1,53,4,FALSE,0
02-01-2010,0,0,0,0,10611.26667,2010,1,53,5,TRUE,0
03-01-2010,0,0,0,0,9904.266667,2010,1,53,6,TRUE,0
04-01-2010,10646,29,479,1520.857143,10088.5,2010,1,1,0,FALSE,10646
05-01-2010,11296,36,620,3134.571429,10080.6,2010,1,1,1,FALSE,11296
06-01-2010,7459,14,249,4200.142857,9730.733333,2010,1,1,2,FALSE,7459
07-01-2010,40614,47,656,10002.14286,10313.1,2010,1,1,3,FALSE,40614
08-01-2010,12695,45,500,11815.71429,10141.6,2010,1,1,4,FALSE,12695
09-01-2010,0,0,0,11815.71429,9355.633333,2010,1,1,5,TRUE,0
10-01-2010,13383,34,487,13727.57143,9092.8,2010,1,1,6,TRUE,13383
11-01-2010,13980,56,1067,14203.85714,9558.8,2010,1,2,0,FALSE,13980
12-01-2010,21264,39,766,15627.85714,9850.366667,2010,1,2,1,FALSE,21264
13-01-2010,8835,30,902,15824.42857,8633.8,2010,1,2,2,FALSE,8835
