Date,Total_Quantity,Invoice_Count,SKU_Count,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Month,Week_Of_Year,Day_Of_Week,Is_Weekend,Total_Quantity_raw,day,week,month,quarter,year,day_of_week,is_weekend,is_holiday,lag_1,lag_3,lag_7,lag_14,lag_30,roll_mean_7,roll_median_7,roll_std_7,roll_max_7,roll_min_7,roll_mean_14,roll_median_14,roll_std_14,roll_max_14,roll_min_14,roll_mean_30,roll_median_30,roll_std_30,roll_max_30,roll_min_30,ema_7,ema_30,growth_rate_1d,growth_rate_7d,demand_trend_7,fourier_week_sin_1,fourier_week_cos_1,fourier_year_sin_1,fourier_year_cos_1,fourier_week_sin_2,fourier_week_cos_2,fourier_year_sin_2,fourier_year_cos_2
31-12-2009,0,0,0,0,13312.1,2009,12,53,3,FALSE,0,31,53,12,4,2009,3,0,0,0,0,0,15413,26098,0,0,0,0,0,4777.642857,0,6606.110279,17402,0,14182.03333,13497.5,13551.4409,49221,0,1419.943458,9154.028109,0,0,-9555.285714,0.974927912,-0.222520934,0.493468142,0.869763872,-0.433883739,-0.900968868,0.858401523,0.512978386
01-01-2010,0,0,0,0,12251.96667,2010,1,53,4,FALSE,0,1,53,1,1,2010,4,0,1,0,0,0,17402,31804,0,0,0,0,0,3676.714286,0,5948.984702,17402,0,13312.1,12025,13597.71945,49221,0,1064.910041,8477.909812,0,0,-7353.428571,0.433883739,-0.900968868,0.508356438,0.861146754,-0.781831482,0.623489802,0.875538993,0.483147464
02-01-2010,0,0,0,0,10611.26667,2010,1,53,5,TRUE,0,2,53,1,1,2010,5,1,0,0,0,0,0,49221,0,0,0,0,0,2433.714286,0,4502.815537,14478,0,12251.96667,10152,13343.71402,49221,0,798.6557851,7857.526645,0,0,-4867.428571,-0.433883739,-0.900968868,0.523094303,0.852274809,0.781831482,0.623489802,0.891640195,0.4527447
03-01-2010,0,0,0,0,9904.266667,2010,1,53,6,TRUE,0,3,53,1,1,2010,6,1,0,0,0,0,6245,21210,0,0,0,0,0,2433.714286,0,4502.815537,14478,0,10611.26667,7508,11546.35452,45332,0,598.9767951,7287.477698,0,0,-4867.428571,-0.974927912,-0.222520934,0.537677377,0.843150662,0.433883739,-0.900968868,0.906686072,0.421806077
04-01-2010,10646,29,479,1520.857143,10088.5,2010,1,1,0,FALSE,10646,4,1,1,1,2010,0,0,0,0,0,0,8771,5119,0,0,0,0,0,1987.642857,0,4404.463394,14478,0,9904.266667,5682,11524.33877,45332,0,449.2241347,6762.997374,0,0,-3975.285714,-0.781831482,0.623489802,0.552101343,0.833777013,-0.974927912,-0.222520934,0.920658817,0.390368215
05-01-2010,11296,36,620,3134.571429,10080.6,2010,1,1,1,FALSE,11296,5,1,1,1,2010,1,0,0,10646,0,0,14478,11533,1520.857143,0,4023.80978,10646,0,2121.571429,0,4648.34933,14478,0,10088.5,7508,11489.32679,45332,0,2998.526136,7040.389701,0.061055796,0,-1201.428571,-1.22E-15,1,0.566361933,0.824156636,-2.45E-15,1,0.933541891,0.358468322
06-01-2010,7459,14,249,4200.142857,9730.733333,2010,1,1,2,FALSE,7459,6,1,1,1,2010,2,0,0,11296,0,0,4578,17955,3134.571429,0,5356.587311,11296,0,1894.285714,0,4035.025106,11296,0,10080.6,7508,11488.38075,45332,0,5072.960536,7342.310488,-0.339677762,0,2480.571429,0.781831482,0.623489802,0.580454928,0.814292378,0.974927912,-0.222520934,0.945320047,0.326144154
07-01-2010,40614,47,656,10002.14286,10313.1,2010,1,1,3,FALSE,40614,7,1,1,1,2010,3,0,0,7459,10646,0,0,23143,4200.142857,0,5370.990177,11296,0,2100.071429,0,4250.153055,11296,0,9730.733333,6852,11399.78567,45332,0,5669.484621,7350.536309,4.444965813,0,4200.142857,0.974927912,-0.222520934,0.594376157,0.804187158,-0.433883739,-0.900968868,0.955979344,0.293433969
08-01-2010,12695,45,500,11815.71429,10141.6,2010,1,1,4,FALSE,12695,8,1,1,1,2010,4,0,0,40614,11296,0,0,17840,10002.14286,7459,14409.31745,40614,0,5001.071429,0,11079.8521,40614,0,10313.1,6852,12501.60131,45332,0,14405.76966,9681.453212,-0.687423056,0,10002.14286,0.433883739,-0.900968868,0.6081215,0.793843965,-0.781831482,0.623489802,0.965507166,0.260376483
09-01-2010,0,0,0,11815.71429,9355.633333,2010,1,1,5,TRUE,0,9,1,1,1,2010,5,1,0,12695,7459,0,0,23579,11815.71429,10646,13723.19147,40614,0,5907.857143,0,11158.28347,40614,0,10141.6,6852,12429.86931,45332,0,13978.07151,9891.458399,-1,0,11815.71429,-0.433883739,-0.900968868,0.62168689,0.783265862,0.781831482,0.623489802,0.973892236,0.227010821
10-01-2010,13383,34,487,13727.57143,9092.8,2010,1,1,6,TRUE,13383,10,1,1,1,2010,6,1,0,0,40614,0,0,21268,11815.71429,10646,13723.19147,40614,0,5907.857143,0,11158.28347,40614,0,9355.633333,5411.5,12295.64529,45332,0,10483.51849,9205.697852,0,0,11815.71429,-0.974927912,-0.222520934,0.635068313,0.772455978,0.433883739,-0.900968868,0.98112463,0.193376474
11-01-2010,13980,56,1067,14203.85714,9558.8,2010,1,2,0,FALSE,13980,11,2,1,1,2010,0,0,0,13383,12695,10646,0,0,13727.57143,11296,12696.55335,40614,0,6863.785714,0,11186.44978,40614,0,9092.8,5411.5,12115.17524,45332,0,11208.39433,9493.917151,0.044608832,0.313169265,13727.57143,-0.781831482,0.623489802,0.64826181,0.761417511,-0.974927912,-0.222520934,0.987195787,0.159513252
12-01-2010,21264,39,766,15627.85714,9850.366667,2010,1,2,1,FALSE,21264,12,2,1,1,2010,1,0,0,13980,0,11296,0,12517,14203.85714,12695,12624.01483,40614,0,7862.357143,3729.5,11150.5277,40614,0,9558.8,6852,12021.87331,45332,0,11901.29967,9802.060641,0.521030043,0.882436261,12683,-1.47E-15,1,0.661263475,0.750153729,-2.94E-15,1,0.992098523,0.125461233
13-01-2010,8835,30,902,15824.42857,8633.8,2010,1,2,2,FALSE,8835,13,2,1,1,2010,2,0,0,21264,13383,7459,0,45332,15627.85714,13383,12802.2788,40614,0,9381.214286,9052.5,11441.61056,40614,0,9850.366667,6852,12200.83112,45332,0,14241.98468,10586.09561,-0.584509029,0.184475131,12493.28571,0.781831482,0.623489802,0.674069462,0.738667964,0.974927912,-0.222520934,0.995827034,0.091260722
14-01-2010,13784,58,1038,11991.57143,8191.133333,2010,1,2,3,FALSE,13784,14,2,1,1,2010,3,0,0,8835,13980,40614,0,27064,15824.42857,13383,12665.78234,40614,0,10012.28571,9740.5,11123.61152,40614,0,8633.8,6852,10195.72553,40614,0,12890.23421,10466.77862,0.560158461,-0.660609642,11624.28571,0.974927912,-0.222520934,0.68667598,0.726963615,-0.433883739,-0.900968868,0.998376906,0.056952196
15-01-2010,8419,46,430,11380.71429,7642.066667,2010,1,2,4,FALSE,8419,15,2,1,1,2010,4,0,0,13784,21264,12695,0,24891,11991.57143,13383,6446.409772,21264,0,10996.85714,10971,10773.75787,40614,0,8191.133333,6852,9641.157159,40614,0,13113.67619,10691.99322,-0.389219385,-0.336825522,1989.428571,0.433883739,-0.900968868,0.699079301,0.715044147,-0.781831482,0.623489802,0.999745124,0.022576263
16-01-2010,0,0,0,11380.71429,7128.3,2010,1,2,5,TRUE,0,16,2,1,1,2010,5,1,0,8419,8835,0,0,15413,11380.71429,13383,6570.053569,21264,0,11598.21429,10971,10338.91758,40614,0,7642.066667,6852,9111.810411,40614,0,11940.00504,10538.19322,-1,0,-435,-0.433883739,-0.900968868,0.711275752,0.702913085,0.781831482,0.623489802,0.999930066,-0.011826391
17-01-2010,9911,40,683,10884.71429,6878.6,2010,1,2,6,TRUE,9911,17,2,1,1,2010,6,1,0,0,13784,13383,0,17402,11380.71429,13383,6570.053569,21264,0,11598.21429,10971,10338.91758,40614,0,7128.3,5411.5,9093.049017,40614,0,8954.999775,9827.373682,0,-0.25943361,-435,-0.974927912,-0.222520934,0.723261725,0.69057402,0.433883739,-0.900968868,0.998931514,-0.046215047
18-01-2010,10333,40,1002,10363.71429,7223.033333,2010,1,3,0,FALSE,10333,18,3,1,1,2010,0,0,0,9911,8419,13980,10646,0,10884.71429,9911,6524.599904,21264,0,12306.14286,10971,9809.428956,40614,0,6878.6,5411.5,8902.046795,40614,0,9194.000072,9832.997912,0.042578953,-0.260872675,-2842.857143,-0.781831482,0.623489802,0.735033674,0.678030602,-0.974927912,-0.222520934,0.99675065,-0.080549004
19-01-2010,15274,47,1065,9508,7524,2010,1,3,1,FALSE,15274,19,3,1,1,2010,1,0,0,10333,0,21264,11296,6245,10363.71429,9911,6380.255108,21264,0,12283.78571,10814.5,9813.859408,40614,0,7223.033333,6852,8826.303536,40614,0,9478.750269,9866.533383,0.478176715,-0.281696764,-3840.142857,-1.71E-15,1,0.746588115,0.665286545,-3.43E-15,1,0.993390055,-0.114787626
20-01-2010,9477,37,761,9599.714286,7547.533333,2010,1,3,2,FALSE,9477,20,3,1,1,2010,2,0,0,15274,9911,8835,7459,8771,9508,9911,4906.031662,15274,0,12567.92857,11514,9840.611359,40614,0,7524,7939,8944.94555,40614,0,10927.56352,10228.29163,-0.379533848,0.072665535,-6119.857143,0.781831482,0.623489802,0.757921627,0.652345619,0.974927912,-0.222520934,0.988853706,-0.148890387
21-01-2010,57628.5,48,732,18044.85714,9494.933333,2010,1,3,3,FALSE,72900,21,3,1,1,2010,3,0,0,9477,10333,13784,40614,14478,9599.714286,9911,4897.346755,15274,0,12712.07143,11514,9774.578578,40614,0,7547.533333,7939,8949.267089,40614,0,10564.92249,10178.14991,5.080880025,3.180825595,-6224.714286,0.974927912,-0.222520934,0.769030859,0.639211653,-0.433883739,-0.900968868,0.983146974,-0.182816925
22-01-2010,18573,45,862,19495.42857,9961.433333,2010,1,3,4,FALSE,18573,22,3,1,1,2010,4,0,0,57628.5,15274,8419,12695,4578,15863.21429,9911,18967.25255,57628.5,0,13927.39286,11514,13757.07056,57628.5,0,8985.883333,7939,12758.49736,57628.5,0,22330.82061,13337.98927,-0.677711549,1.206081482,3871.642857,0.433883739,-0.900968868,0.779912522,0.625888534,-0.781831482,0.623489802,0.976276611,-0.216527085
23-01-2010,0,0,0,19495.42857,9961.433333,2010,1,3,5,TRUE,0,23,3,1,1,2010,5,1,0,18573,9477,0,0,0,17313.78571,10333,18689.29072,57628.5,0,14347.25,11858,13806.17428,57628.5,0,9452.383333,8627,12847.31704,57628.5,0,21391.36524,13685.87957,-1,0,5933.071429,-0.433883739,-0.900968868,0.790563397,0.612380205,0.781831482,0.623489802,0.96825075,-0.249980969
24-01-2010,8846,50,705,19343.28571,10256.3,2010,1,3,6,TRUE,8846,24,3,1,1,2010,6,1,0,0,57628.5,9911,13383,0,17313.78571,10333,18689.29072,57628.5,0,14347.25,11858,13806.17428,57628.5,0,9452.383333,8627,12847.31704,57628.5,0,16043.52297,12778.15012,0,-0.107456362,5933.071429,-0.974927912,-0.222520934,0.800980331,0.598690663,0.433883739,-0.900968868,0.95907889,-0.283138981
25-01-2010,10038,57,905,19301.14286,10590.9,2010,1,4,0,FALSE,10038,25,4,1,1,2010,0,0,0,8846,18573,10333,13980,0,17161.64286,10333,18763.7845,57628.5,0,14023.17857,10122,13883.58048,57628.5,0,9747.25,8840.5,12723.80996,57628.5,0,14244.14198,12517.81755,0.13475017,-0.028549308,6276.928571,-0.781831482,0.623489802,0.811160242,0.584823958,-0.974927912,-0.222520934,0.948771886,-0.315961877
26-01-2010,22968,93,814,20400.28571,11356.5,2010,1,4,1,FALSE,22968,26,4,1,1,2010,1,0,0,10038,0,15274,21264,0,17119.5,10038,18782,57628.5,0,13741.60714,9974.5,13924.43706,57628.5,0,10081.85,9161.5,12589.92727,57628.5,0,13192.60638,12353.91535,1.2881052,0.503731832,6755.785714,-1.96E-15,1,0.821100118,0.570784194,-3.92E-15,1,0.937341938,-0.348410807
