Date,Total_Revenue,Total_Quantity,Invoice_Count,SKU_Count,Avg_Price,Country_Diversity,Rolling_7_Day_Demand,Rolling_30_Day_Demand,Year,Quarter,Month,Day_Of_Week,Is_Weekend
01-12-2009,54351.23,26098,119,1328,4.530114081,8,26098,26098,2009,4,12,1,FALSE
02-12-2009,63172.58,31804,115,1392,4.080342893,4,28951,28951,2009,4,12,2,FALSE
03-12-2009,73972.45,49221,124,1321,3.784029342,4,35707.66667,35707.66667,2009,4,12,3,FALSE
04-12-2009,40582.32,21210,89,1252,3.798572005,5,32083.25,32083.25,2009,4,12,4,FALSE
05-12-2009,9803.05,5119,30,285,3.60815,2,26690.4,26690.4,2009,4,12,5,TRUE
06-12-2009,24423.02,11533,74,966,3.300058729,4,24164.16667,24164.16667,2009,4,12,6,TRUE
07-12-2009,44916.21,17955,101,1338,4.48221826,7,23277.14286,23277.14286,2009,4,12,0,FALSE
08-12-2009,49476.23,23143,109,1129,3.922101882,6,22855,23260.375,2009,4,12,1,FALSE
09-12-2009,40265.66,17840,88,1297,4.60970211,3,20860.14286,22658.11111,2009,4,12,2,FALSE
10-12-2009,44233.96,23579,92,1212,4.43937659,4,17197,22750.2,2009,4,12,3,FALSE
11-12-2009,39447.89,21268,70,840,3.059872431,1,17205.28571,22615.45455,2009,4,12,4,FALSE
12-12-2009,0,0,0,0,3.059872431,0,16474,20730.83333,2009,4,12,5,TRUE
13-12-2009,22176.46,12517,71,978,2.82182659,5,16614.57143,20099,2009,4,12,6,TRUE
14-12-2009,73174.39,45332,90,1584,4.870902778,3,20525.57143,21901.35714,2009,4,12,0,FALSE
15-12-2009,50262.29,27064,98,1025,3.953152785,3,21085.71429,22245.53333,2009,4,12,1,FALSE
16-12-2009,52545.55,24891,98,1420,4.961134863,5,22093,22410.875,2009,4,12,2,FALSE
17-12-2009,30638.25,15413,104,1037,3.395726073,4,20926.42857,21999.23529,2009,4,12,3,FALSE
18-12-2009,42470.29,17402,68,1119,5.37631996,6,20374.14286,21743.83333,2009,4,12,4,FALSE
19-12-2009,0,0,0,0,5.37631996,0,20374.14286,20599.42105,2009,4,12,5,TRUE
20-12-2009,11382.54,6245,34,464,3.060289389,3,19478.14286,19881.7,2009,4,12,6,TRUE
21-12-2009,16322.95,8771,41,454,3.509616667,4,14255.14286,19352.61905,2009,4,12,0,FALSE
22-12-2009,28017.28,14478,45,1024,7.120803039,2,12457.14286,19131.04545,2009,4,12,1,FALSE
23-12-2009,10849.35,4578,22,369,4.177323136,2,9555.285714,18498.30435,2009,4,12,2,FALSE
24-12-2009,0,0,0,0,4.177323136,0,7353.428571,17727.54167,2009,4,12,3,FALSE
25-12-2009,0,0,0,0,4.177323136,0,4867.428571,17018.44,2009,4,12,4,FALSE
26-12-2009,0,0,0,0,4.177323136,0,4867.428571,16363.88462,2009,4,12,5,TRUE
27-12-2009,0,0,0,0,4.177323136,0,3975.285714,15757.81481,2009,4,12,6,TRUE
28-12-2009,0,0,0,0,4.177323136,0,2722.285714,15195.03571,2009,4,12,0,FALSE
29-12-2009,0,0,0,0,4.177323136,0,654,14671.06897,2009,4,12,1,FALSE
30-12-2009,0,0,0,0,4.177323136,0,0,14182.03333,2009,4,12,2,FALSE
31-12-2009,0,0,0,0,4.177323136,0,0,13312.1,2009,4,12,3,FALSE
01-01-2010,0,0,0,0,4.177323136,0,0,12251.96667,2010,1,1,4,FALSE
02-01-2010,0,0,0,0,4.177323136,0,0,10611.26667,2010,1,1,5,TRUE
03-01-2010,0,0,0,0,4.177323136,0,0,9904.266667,2010,1,1,6,TRUE
04-01-2010,13445.8,10646,29,479,2.878266667,1,1520.857143,10088.5,2010,1,1,0,FALSE
05-01-2010,19114.34,11296,36,620,3.264672586,1,3134.571429,10080.6,2010,1,1,1,FALSE
06-01-2010,8736.75,7459,14,249,3.297628866,1,4200.142857,9730.733333,2010,1,1,2,FALSE
07-01-2010,73039.89,40614,47,656,3.109541752,5,10002.14286,10313.1,2010,1,1,3,FALSE
08-01-2010,30293.95,12695,45,500,5.899659091,4,11815.71429,10141.6,2010,1,1,4,FALSE
09-01-2010,0,0,0,0,5.899659091,0,11815.71429,9355.633333,2010,1,1,5,TRUE
10-01-2010,23597.85,13383,34,487,2.927695652,2,13727.57143,9092.8,2010,1,1,6,TRUE
11-01-2010,37886.41,13980,56,1067,5.385900038,7,14203.85714,9558.8,2010,1,1,0,FALSE
12-01-2010,40786.98,21264,39,766,3.454374412,3,15627.85714,9850.366667,2010,1,1,1,FALSE
13-01-2010,22470.18,8835,30,902,5.508058561,4,15824.42857,8633.8,2010,1,1,2,FALSE
14-01-2010,31550.9,13784,58,1038,4.338970315,3,11991.57143,8191.133333,2010,1,1,3,FALSE
15-01-2010,13507.9,8419,46,430,3.16200313,6,11380.71429,7642.066667,2010,1,1,4,FALSE
16-01-2010,0,0,0,0,3.16200313,0,11380.71429,7128.3,2010,1,1,5,TRUE
17-01-2010,17393.2,9911,40,683,3.103528319,1,10884.71429,6878.6,2010,1,1,6,TRUE
18-01-2010,21397.71,10333,40,1002,4.683127331,2,10363.71429,7223.033333,2010,1,1,0,FALSE
19-01-2010,33233.881,15274,47,1065,4.256453749,5,9508,7524,2010,1,1,1,FALSE
20-01-2010,19018.04,9477,37,761,5.254289568,3,9599.714286,7547.533333,2010,1,1,2,FALSE
21-01-2010,27359.23,72900,48,732,3.070332458,4,18044.85714,9494.933333,2010,1,1,3,FALSE
22-01-2010,36786.17,18573,45,862,5.046867718,5,19495.42857,9961.433333,2010,1,1,4,FALSE
23-01-2010,0,0,0,0,5.046867718,0,19495.42857,9961.433333,2010,1,1,5,TRUE
24-01-2010,15930.84,8846,50,705,3.178934093,2,19343.28571,10256.3,2010,1,1,6,TRUE
25-01-2010,22994.15,10038,57,905,4.169170702,3,19301.14286,10590.9,2010,1,1,0,FALSE
