StockCode,Description,Total_Quantity_Sold,Total_Revenue,Avg_Price,First_Sale_Date,Last_Sale_Date,Num_Orders,Num_Countries_Sold,SKU_Demand_Velocity,Return_Rate,Average_Daily_Demand,Gross_Quantity,Return_Quantity,Net_Quantity,Product_Lifespan_Days
10002,INFLATABLE POLITICAL GLOBE ,8671,6942.26,0.979155313,01-12-2009,18-04-2011,362,12,38.53777778,0.135692888,17.20436508,9013,1223,7790,504
10080,GROOVY CACTUS INFLATABLE,315,129.29,0.505,02-12-2009,21-11-2011,27,1,12.11538462,0,0.4375,597,0,597,720
10109,BENDY COLOUR PENCILS,4,1.68,0.42,03-12-2009,03-12-2009,1,1,4,0,4,0,0,0,1
10120,DOGGY RUBBER,664,142.74,0.240136986,01-12-2009,04-12-2011,73,2,10.375,-0.003605769,0.904632153,-8320,30,-8350,734
10125,MINI FUNKY DESIGN TAPES,2103,1715.78,0.930635838,01-12-2009,09-12-2011,167,6,16.95967742,0,2.845737483,2151,0,2151,739
10133,COLOURING PENCILS BROWN TUBE,3837,2373.26,0.745709343,01-12-2009,07-09-2011,289,8,20.40957447,0.005263158,5.939628483,3800,20,3780,646
10134,COLOURING PENCILS BROWN TUBE,625,721.13,1.290740741,03-12-2009,12-11-2010,52,4,13.88888889,0.016778523,1.811594203,596,10,586,345
10135,COLOURING PENCILS BROWN TUBE,4226,4566.21,1.398562691,01-12-2009,08-12-2011,324,7,18.53508772,0.002574304,5.726287263,4273,11,4262,738
10138,ASSORTED COLOUR JUMBO PEN,261,111.22,0.477619048,02-12-2009,20-04-2010,21,1,14.5,-2.939393939,1.864285714,-66,194,-260,140
11001,ASSTD DESIGN RACING CAR PEN,4829,7408.65,1.873007813,01-12-2009,06-12-2011,251,12,25.15104167,0.166223132,6.561141304,4885,812,4073,736
15030,FAN BLACK FRAME ,254,73.66,0.29,13-12-2009,06-12-2011,26,1,9.769230769,0,0.350828729,404,0,404,724
15034,PAPER POCKET TRAVELING FAN ,10153,1416.26,0.357265625,01-12-2009,08-12-2011,255,10,50.51243781,0.14104812,13.75745257,10266,1448,8818,738
15036,ASSORTED COLOURS SILK FAN,44272,32967.03,0.993256048,01-12-2009,09-12-2011,991,14,102.2448037,0.021363689,59.90798376,43485,929,42556,739
15039,SANDALWOOD FAN,5101,4345.62,1.144837662,03-12-2009,09-12-2011,306,8,22.97747748,0.005274468,6.921302578,5119,27,5092,737
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,422.96,0.156235294,19-03-2010,09-12-2011,85,8,44.23943662,0,4.977812995,1633,0,1633,631
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,3.84,0.12,17-01-2010,28-03-2011,4,1,8,0,0.073394495,37,0,37,436
16011, ANIMAL STICKERS,3812,799.32,0.209553571,04-12-2009,07-12-2011,112,3,36.3047619,0.006144393,5.19346049,3906,24,3882,734
16012,FOOD/DRINK SPUNGE STICKERS,2901,608.01,0.209404762,02-12-2009,05-12-2011,83,6,39.73972603,0,3.952316076,2973,0,2973,734
16014,SMALL CHINESE STYLE SCISSOR,29355,9513.1,0.395268817,03-12-2009,09-12-2011,93,6,337.4137931,0,39.83039349,30370,0,30370,737
16015,MEDIUM CHINESE STYLE SCISSOR,1572,711.38,0.487076923,03-12-2009,17-11-2011,65,1,26.2,0,2.198601399,1014,0,1014,715
16016,LARGE CHINESE STYLE SCISSOR,2314,1870.7,0.840188679,03-12-2009,09-12-2011,106,7,23.6122449,0,3.139755767,2338,0,2338,737
16033,MINI HIGHLIGHTER PENS,15121,1544.52,0.1164,10-12-2009,17-02-2011,50,6,328.7173913,0.03761166,34.76091954,12762,480,12282,435
16043,POP ART PUSH DOWN RUBBER ,2145,180.3,0.318461538,16-12-2009,09-06-2011,13,2,165,0.545152355,3.964879852,1805,984,821,541
16044,POP-ART FLUORESCENT PENS,6193,389.22,0.3,07-01-2010,18-02-2010,3,2,2064.333333,0,144.0232558,5112,0,5112,43
16045,POPART WOODEN PENCILS ASST,9312,429.44,0.0496,07-01-2010,05-12-2011,74,4,150.1935484,0,13.34097421,4745,0,4745,698
16046,TEATIME PEN CASE & PENS,10056,1223.5,0.944354839,04-12-2009,28-11-2011,59,2,182.8363636,0.459432652,13.87034483,10082,4632,5450,725
16047,POP ART PEN CASE & PENS,10612,1054.7,0.958387097,01-12-2009,24-10-2010,31,2,379,0.491514175,32.35365854,10547,5184,5363,328
16048,TEATIME ROUND PENCIL SHARPENER ,3461,537.06,0.40254717,07-12-2009,08-12-2011,105,7,39.32954545,0,4.728142077,3462,0,3462,732
16049,TEATIME GEL PENS ASST,3169,560.48,0.381875,04-12-2009,25-05-2011,32,1,113.1785714,0,5.890334572,2772,0,2772,538
16050,TEATIME PENCIL WITH RUBBER,151,46.45,0.4,16-02-2010,19-04-2010,8,1,21.57142857,0,2.396825397,-692,0,-692,63
16051,TEATIME PENCIL W STAMP ASST,941,84.69,0.4325,10-12-2009,09-06-2010,4,3,235.25,0,5.17032967,599,0,599,182
16052,TEATIME PUSH DOWN RUBBER,848,281.32,0.568571429,16-12-2009,09-06-2011,35,3,25.6969697,0.015852048,1.567467652,1514,24,1490,541
16053,POPART COL BALLPOINT PEN ASST,4313,185.73,0.174,07-01-2010,16-11-2010,10,3,431.3,0.52645433,13.73566879,3799,2000,1799,314
16054,POPART RECT PENCIL SHARPENER ASST,1210,159,0.173846154,07-01-2010,04-12-2011,39,4,34.57142857,0.089256198,1.736011478,1210,108,1102,697
16119,FUNKY GIRL ADDRESS BOOK,273,130.71,1.0325,10-12-2009,22-12-2009,8,2,45.5,0,21,258,0,258,13
