ds,yhat,yhat_lower,yhat_upper
2009-12-01,30975.467160878412,18685.716413658178,42614.9787082287
2009-12-02,29531.201390681712,17467.179958563524,42678.94998619429
2009-12-03,32379.57784633503,20277.86278466907,45031.40772845006
2009-12-04,26057.477718424056,13928.41666390663,38209.59844228456
2009-12-05,9967.726210957393,-2407.4264987664637,22677.898898726336
2009-12-06,19223.145534356667,7124.345858438081,30833.343345931185
2009-12-07,28193.637280668416,15125.602449371834,40022.929379941685
2009-12-08,28272.40516856224,16282.75969546218,40113.87577241024
2009-12-09,26123.612227256424,14579.52945828877,38167.74336684252
2009-12-10,28251.8547280903,16306.29170742786,41866.746748041616
2009-12-11,21210.41840929588,9757.123852193077,33724.63188432332
2009-12-12,4419.270211444353,-6747.316330839891,16403.054708731805
2009-12-13,13008.661977448453,903.6591921403785,25003.09140870751
2009-12-14,21365.74667783802,7837.193147673374,32822.372108475596
2009-12-15,20900.331022771916,9289.563737738914,33558.68379708353
2009-12-16,18292.071634079482,6454.365632990675,30182.804281475906
2009-12-17,20059.51005222988,7318.718952831639,31225.89693558696
2009-12-18,12767.924582501522,1390.9959609840537,25023.339376561937
2009-12-19,-4153.036204045184,-16226.309653953085,8368.89845172717
2009-12-20,4433.948542985152,-8301.535893644097,16920.70347105834
2009-12-21,12920.25195145965,120.91108843619378,26177.471008366585
2009-12-22,12716.888429951807,-295.4666533727404,24816.717603797097
2009-12-23,10501.624046198833,-2117.006015403091,22268.836553558605
2009-12-24,12788.006635016402,742.4083567554015,24070.429808151697
2009-12-25,6133.294504877838,-6249.315720780887,18270.50733887577
2009-12-26,-10043.752802342466,-22859.97413241462,2696.6829394292354
2009-12-27,-619.3385576649034,-12626.032795908275,11845.782546161297
2009-12-28,8782.056268702101,-3671.0199977215366,21501.600815927093
2009-12-29,9553.630364730703,-2807.973469125175,22001.851781362097
2009-12-30,8353.794681447127,-3567.9130218618116,21069.214530370216
2009-12-31,11675.667622753466,115.66399411259926,24514.965163222332
2010-01-01,6055.499483675669,-5868.009531424798,18181.430057168403
2010-01-02,-9109.02351524732,-21433.9491314293,1667.2871936716103
2010-01-03,1285.2740543101318,-11461.843654488623,12335.894781062501
2010-01-04,11594.249353204497,-580.1267425980715,24078.232014278237
2010-01-05,13192.882842960596,485.7883505968843,25472.050596221263
2010-01-06,12723.25888916539,-37.16767166156925,24639.277472938356
2010-01-07,16664.460826329996,4222.867461365132,29775.29022988306
2010-01-08,11541.336510526708,-261.92873665614474,23141.768683828228
2010-01-09,-3256.924340574169,-15588.87016652361,8735.878873614462
2010-01-10,7367.461421672899,-5614.899152449331,18820.90892712141
2010-01-11,17768.180997825893,4019.1937143129267,30251.27913503813
2010-01-12,19321.30211867587,7162.635665655458,31458.93612089229
2010-01-13,18673.204635620932,6117.6369011694205,30492.465458630286
2010-01-14,22310.3441884565,9698.887866406712,35900.46915369114
2010-01-15,16767.807744477814,4376.75497595407,28438.203791727265
2010-01-16,1447.608197407515,-10528.47125501802,14320.831497256317
2010-01-17,11462.588311201536,-182.3866729013639,24074.886343933333
2010-01-18,21183.328405735563,9633.943268241406,32974.74579703828
2010-01-19,22004.17563439386,9747.29738426746,34006.933934651
2010-01-20,20590.69629210603,8053.708871265393,33464.254199915704
2010-01-21,23448.941136829297,12183.297165081367,36129.54472912158
2010-01-22,17133.496972939356,5348.050062711158,29752.311974378717
2010-01-23,1065.2852227709336,-11217.026092166365,12791.691550081492
2010-01-24,10374.99101251277,-2376.322497708457,22472.197859461216
2010-01-25,19449.529748687335,7565.402038158499,32065.231016831945
2010-01-26,19697.680602727556,7056.863808448908,32070.18303310511
2010-01-27,17797.198602745408,5305.04245491854,30128.46998222569
2010-01-28,20263.803955968295,7167.443299190891,32249.560458117776
2010-01-29,13659.028676591672,2441.9427449002837,26370.012306794833
2010-01-30,-2592.113942928436,-14461.729498168112,9602.51424073719
2010-01-31,6642.249190655539,-5651.316962946125,18345.81898316871
2010-02-01,15747.346013988274,2640.265520794651,27653.30347098321
2010-02-02,16127.498588522978,3811.011287114638,28666.325598383442
2010-02-03,14453.41449471576,2294.724599307521,26471.40492692825
2010-02-04,17231.423132530563,5616.884457400987,29887.839343426494
2010-02-05,11011.629345591973,-1298.0038525944478,23700.540582188172
2010-02-06,-4794.059348422525,-17702.589400001787,7683.437730494589
